"rank","totalPoints","userID","nickname","onlineID","countryCode","driverRating","sportmanshipRating","class","manufacturer","round_1","round_2","round_3","round_4"
90,528,"98dfd4b7-5cca-49f1-b2f3-09fed46fc6b3","Maikel Knight11","Maikel_Knight11","ES","A+","S","GT1","Peugeot",0,296,232,0
91,527,"2450da80-30d7-4960-beab-31afc028790d","Theonlee","Theonlee90","GB","A+","S","GT1","AMG",0,295,0,232
92,526,"979b432f-885e-4c5c-a1f2-31cf4671013c","Pernas_TSM","Pernas_TSM","PT","A+","S","GT1","Porsche",255,0,0,271
93,525,"9463c7fd-0aa1-4c61-b68a-6eac55e40d04","OSR_M-eagle","MIG-L86","CH","A+","S","GT1","Nissan",0,282,0,243
94,523,"07065a8f-6f0e-41ca-8d36-9ebb240bdc92","GDdesign","Ghost_Dog_02","FR","A+","S","GT1","Ferrari",0,0,224,299
95,522,"ca2bb32c-e939-4b42-ae5a-c36c3ffea806","TurboMaup","TurboMaup","FR","A+","S","GT1","Subaru",0,264,258,0
96,519,"df1f60fe-c9f9-4149-bceb-59d54f65be1d","Shadow977","TheShadow977","FI","A+","S","GT1","Alfa Romeo",227,292,0,0
97,518,"86b2aabf-fe59-4e72-9eba-e9fec20e5f99","D.Prokop","turok_86zlo","UA","A+","S","GT1","Aston Martin",272,0,0,246
97,518,"905d6000-a219-4d8c-b412-5bed1d9f16e1","A. Giaccio","GTS92_agus05","ES","A+","S","GT1","Honda",316,202,0,0
97,518,"fb1650a5-d388-44f6-9a89-d9bb474d80a6","V.Mizin","VladIsLove_01","UA","A+","S","GT1","Toyota",240,278,0,0
97,518,"d7dd0df5-3ee8-4bea-9fe6-d3328889de6b","KRK_Ruizz","KRK_Ruizz","ES","A+","S","GT1","Porsche",195,0,0,323
